elapsed_ms,read_gib_s,write_gib_s,total_gib_s,time_s
51837.67,78.7333984375,2.119140625,80.8525390625,51.784316999999994
51889.202,76.388671875,1.794921875,78.18359375,51.835848999999996
51939.46,62.8701171875,19.91796875,82.7880859375,51.886106999999996
51989.158,67.1240234375,8.9560546875,76.080078125,51.935805
52039.754,89.283203125,1.326171875,90.609375,51.986401
52089.582,62.2060546875,10.4169921875,72.623046875,52.036229
52139.407,67.748046875,17.9404296875,85.6884765625,52.086054
52191.624,82.5166015625,1.6826171875,84.19921875,52.138271
52242.387,71.6416015625,1.337890625,72.9794921875,52.189034
52292.179,64.8154296875,20.4677734375,85.283203125,52.238825999999996
52342.597,70.5615234375,8.77734375,79.3388671875,52.289244
52394.787,90.5048828125,1.669921875,92.1748046875,52.34143399999999
52445.26,59.3173828125,14.845703125,74.1630859375,52.391906999999996
52496.41,64.0986328125,18.2080078125,82.306640625,52.443057
52547.89,76.4443359375,2.767578125,79.2119140625,52.494536999999994
52598.296,75.0751953125,3.568359375,78.6435546875,52.544942999999996
52649.546,66.642578125,23.0498046875,89.6923828125,52.596193
52699.908,73.357421875,7.2939453125,80.6513671875,52.646555
52749.638,87.123046875,1.5244140625,88.6474609375,52.696284999999996
52799.356,61.1708984375,14.8955078125,76.06640625,52.746002999999995
52849.006,59.8212890625,16.828125,76.6494140625,52.795653
52899.373,78.0400390625,2.291015625,80.3310546875,52.846019999999996
