timestamp,time_s,preprocess_ms,vision_ms,language_ms,postprocess_ms,total_ms,boxes,points,generated_tokens,pbd_calls,pbd_accepted_tokens,stop_reason,labels,mode
1787057821.4427953,25.692177772521973,18.364,47.23,129.233,0.014,257.75,1,0,10,3,10,im_end,box,hybrid
1787057821.5711603,25.820542812347412,18.558,47.608,128.188,0.014,257.593,1,0,10,3,10,im_end,box,hybrid
1787057821.69928,25.948662519454956,18.725,47.565,127.906,0.014,256.299,1,0,10,3,10,im_end,box,hybrid
1787057821.826243,26.0756254196167,18.339,47.476,126.785,0.013,254.863,1,0,10,3,10,im_end,box,hybrid
1787057821.9544501,26.203832626342773,18.315,47.117,127.997,0.013,254.993,1,0,10,3,10,im_end,box,hybrid
1787057822.080916,26.33029842376709,18.338,47.133,126.297,0.014,254.456,1,0,10,3,10,im_end,box,hybrid
1787057822.2087696,26.458152055740356,18.254,47.313,127.666,0.013,254.132,1,0,10,3,10,im_end,box,hybrid
1787057822.3362403,26.585622787475586,18.145,47.328,127.232,0.013,255.12,1,0,10,3,10,im_end,box,hybrid
1787057822.465881,26.715263605117798,18.798,46.758,129.344,0.014,256.888,1,0,10,3,10,im_end,box,hybrid
1787057822.594898,26.8442804813385,18.819,46.705,128.847,0.014,258.357,1,0,10,3,10,im_end,box,hybrid
1787057822.7248962,26.974278688430786,18.134,47.458,129.811,0.016,258.839,1,0,10,3,10,im_end,box,hybrid
1787057822.8527117,27.102094173431396,18.45,47.784,127.55,0.062,257.585,1,0,10,3,10,im_end,box,hybrid
1787057822.9795804,27.228962898254395,18.697,47.887,126.599,0.013,254.497,1,0,10,3,10,im_end,box,hybrid
1787057823.1068833,27.356265783309937,18.598,46.948,127.128,0.014,253.899,1,0,10,3,10,im_end,box,hybrid
1787057823.234443,27.48382544517517,19.102,46.841,127.382,0.015,254.68,1,0,10,3,10,im_end,box,hybrid
1787057823.3616931,27.61107563972473,18.322,47.21,127.072,0.013,254.63,1,0,10,3,10,im_end,box,hybrid
1787057823.4879959,27.737378358840942,18.661,47.061,126.125,0.014,253.367,1,0,10,3,10,im_end,box,hybrid
1787057823.615318,27.86470055580139,18.435,47.016,127.154,0.013,253.445,1,0,10,3,10,im_end,box,hybrid
1787057823.742564,27.99194645881653,18.71,46.529,127.068,0.014,254.385,1,0,10,3,10,im_end,box,hybrid
1787057823.871183,28.12056541442871,18.934,46.626,128.436,0.014,255.684,1,0,10,3,10,im_end,box,hybrid
1787057824.0015635,28.250946044921875,18.535,47.481,130.203,0.014,258.81,1,0,10,3,10,im_end,box,hybrid
1787057824.1304977,28.37988018989563,18.708,47.448,128.76,0.014,259.132,1,0,10,3,10,im_end,box,hybrid
1787057824.2584488,28.50783133506775,18.977,47.275,127.779,0.014,256.709,1,0,10,3,10,im_end,box,hybrid
1787057824.3868039,28.636186361312866,18.857,46.787,127.608,0.014,256.136,1,0,10,3,10,im_end,box,hybrid
1787057824.5129583,28.762340784072876,18.5,47.875,125.986,0.015,254.333,1,0,10,3,10,im_end,box,hybrid
1787057824.6401248,28.889507293701172,18.629,46.723,126.997,0.013,253.144,1,0,10,3,10,im_end,box,hybrid
1787057824.7670057,29.016388177871704,18.509,47.279,126.696,0.014,253.873,1,0,10,3,10,im_end,box,hybrid
1787057824.894376,29.143758535385132,18.703,46.867,127.189,0.015,254.061,1,0,10,3,10,im_end,box,hybrid
1787057825.021271,29.27065348625183,18.375,47.051,126.719,0.013,254.086,1,0,10,3,10,im_end,box,hybrid
1787057825.149606,29.398988485336304,18.586,47.102,128.164,0.014,255.052,1,0,10,3,10,im_end,box,hybrid
1787057825.2786055,29.527987957000732,18.278,47.643,128.784,0.015,257.153,1,0,10,3,10,im_end,box,hybrid
1787057825.4060006,29.655383110046387,18.387,47.837,127.212,0.014,256.169,1,0,10,3,10,im_end,box,hybrid
